Governor,,,,,,,,,,,,,,,,,,,,,,,
,,J. NATHAN DEAL(I)(R),,,,,,,JASON J. CARTER (D),,,,,,,ANDREW T. HUNT (L),,,,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Advance in Person 3,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Advance in Person 3,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Advance in Person 3,Provisional,Total Votes,Total
STONE MOUNTAIN MIDDLE,2254,45,5,7,19,2,0,78,311,6,134,74,17,2,544,6,0,1,1,0,0,8,630
STONEVIEW ELEM,1317,15,3,5,0,2,0,25,301,31,80,37,43,2,494,0,0,0,0,4,0,4,523
TERRY MILL ELEM,2038,22,3,6,7,0,0,38,551,33,175,190,3,2,954,8,1,1,1,0,0,11,1003
TILLY MILL ROAD,1310,454,27,4,4,61,1,551,221,13,2,10,33,2,281,25,1,0,0,3,0,29,861
TONEY ELEM,1343,12,0,3,4,0,0,19,399,35,105,145,2,1,687,3,0,1,0,0,0,4,710
TUCKER,2462,456,32,7,273,3,2,773,353,38,13,299,1,5,709,48,2,0,12,0,0,62,1544
TUCKER LIBRARY,2078,229,29,5,235,1,0,499,301,18,20,295,3,2,639,9,0,0,4,0,0,13,1151
VALLEY BROOK,717,91,5,6,12,0,1,115,225,4,24,21,1,1,276,18,0,1,0,1,0,20,411
WADSWORTH ELEM,2397,23,0,7,9,0,0,39,579,36,260,224,5,4,1108,8,1,1,1,1,0,12,1159
WARREN TECH,1728,270,21,1,44,34,0,370,360,17,9,26,47,3,462,24,0,0,1,4,0,29,861
WESLEY CHAPEL LIBRARY,2485,21,3,7,13,1,1,46,616,29,262,564,19,1,1491,3,0,0,2,0,0,5,1542
WHITE OAK,2143,18,0,8,0,1,0,27,492,11,222,63,38,3,829,6,1,2,0,2,0,11,867
WINNONA PARK ELEM,1735,133,6,6,6,1,0,152,763,27,113,106,1,3,1013,13,0,1,1,0,0,15,1180
WINTERS CHAPEL,1220,353,25,2,9,60,0,449,236,12,7,11,37,0,303,29,0,0,1,0,0,30,782
WOODRIDGE ELEM,2684,38,5,34,2,4,1,84,609,37,507,90,40,1,1284,16,0,2,1,0,1,20,1388
WOODROW ROAD,4622,69,14,16,5,9,0,113,1116,59,354,262,157,9,1957,10,0,1,2,0,0,13,2083
WOODWARD ELEM,1858,183,12,8,5,53,2,263,337,23,10,30,90,1,491,16,2,1,0,2,0,21,775
WYNBROOKE ELEM,2688,65,6,22,15,2,0,110,798,36,488,90,91,0,1503,9,1,4,1,1,0,16,1629
YOUNG ROAD,1493,16,3,9,0,8,0,36,357,32,201,44,236,0,870,4,0,1,0,2,0,7,913
Totals:,404094,31141,2641,2064,5124,3663,43,44676,95388,5476,27321,25344,8297,448,162274,2847,163,189,282,196,12,3689,210639
