,census_tract,white,black,hispanic,total,median_income,majority_race
249,"Census Tract 108.06, Chatham County, Georgia",3461,1779,374,6228,45877,white
250,"Census Tract 108.07, Chatham County, Georgia",2703,1280,353,4690,71111,white
251,"Census Tract 108.08, Chatham County, Georgia",3834,3617,1488,9642,45857,NA
252,"Census Tract 108.09, Chatham County, Georgia",6612,3809,752,11746,61699,white
253,"Census Tract 109.01, Chatham County, Georgia",1396,2190,541,4298,34095,black
254,"Census Tract 110.03, Chatham County, Georgia",5021,673,400,6306,58220,white
255,"Census Tract 110.04, Chatham County, Georgia",3135,74,52,3395,82479,white
256,"Census Tract 110.05, Chatham County, Georgia",4001,55,111,4383,109068,white
257,"Census Tract 110.06, Chatham County, Georgia",3365,19,68,3497,113235,white
258,"Census Tract 111.03, Chatham County, Georgia",3153,59,176,3480,55208,white
259,"Census Tract 111.04, Chatham County, Georgia",4560,151,81,5180,66396,white
260,"Census Tract 111.06, Chatham County, Georgia",4480,315,186,5706,55000,white
261,"Census Tract 111.07, Chatham County, Georgia",2802,68,95,3063,66356,white
262,"Census Tract 111.08, Chatham County, Georgia",2819,79,22,3136,76609,white
263,"Census Tract 111.09, Chatham County, Georgia",5890,230,296,7022,78734,white
264,"Census Tract 112, Chatham County, Georgia",1395,242,70,1842,41250,white
265,"Census Tract 113, Chatham County, Georgia",1097,808,49,2052,15179,white
266,"Census Tract 114, Chatham County, Georgia",1018,1193,46,2300,22563,black
267,"Census Tract 115, Chatham County, Georgia",1938,569,40,2636,68977,white
268,"Census Tract 116, Chatham County, Georgia",93,2090,224,2428,31167,black
269,"Census Tract 9800, Chatham County, Georgia",0,0,0,0,-,NA
270,"Census Tract 9900, Chatham County, Georgia",0,0,0,0,-,NA
271,"Census Tract 201, Chattahoochee County, Georgia",1549,874,37,2743,36000,white
272,"Census Tract 202.01, Chattahoochee County, Georgia",2439,434,477,3622,53824,white
273,"Census Tract 202.03, Chattahoochee County, Georgia",1306,221,350,1938,43247,white
