,median_income,Geography
490,56864,"Census Tract 312.11, Cobb County, Georgia"
491,121277,"Census Tract 312.12, Cobb County, Georgia"
492,44196,"Census Tract 313.06, Cobb County, Georgia"
493,73497,"Census Tract 313.07, Cobb County, Georgia"
494,43619,"Census Tract 313.08, Cobb County, Georgia"
495,55980,"Census Tract 313.09, Cobb County, Georgia"
496,27931,"Census Tract 313.10, Cobb County, Georgia"
497,36080,"Census Tract 313.11, Cobb County, Georgia"
498,64821,"Census Tract 313.12, Cobb County, Georgia"
499,103333,"Census Tract 313.13, Cobb County, Georgia"
500,74327,"Census Tract 314.04, Cobb County, Georgia"
501,71679,"Census Tract 314.05, Cobb County, Georgia"
502,36317,"Census Tract 314.06, Cobb County, Georgia"
503,49798,"Census Tract 314.08, Cobb County, Georgia"
