,PRECINCT_N,COUNTY_NAM,avg_income,race,income_bin,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge
118,TRITT 01,COBB,144498.0,white,high,TRITT 01,3206.0,1827.0,708.0,2582.0,0.707591014717,0.274206041828,COBB,both
119,WILLEO 01,COBB,142353.0,white,high,WILLEO 01,2645.0,1509.0,552.0,2099.0,0.718913768461,0.262982372558,COBB,both
120,SS22,FULTON,50658.0,,mid,SS22,2399.0,804.0,794.0,1614.0,0.498141263941,0.491945477076,FULTON,both
121,RW11A,FULTON,97188.0,white,mid,RW11A,2292.0,979.0,662.0,1677.0,0.583780560525,0.394752534287,FULTON,both
122,SS15A,FULTON,45791.0,black,low,SS15A,1927.0,188.0,821.0,1026.0,0.183235867446,0.800194931774,FULTON,both
123,RW02,FULTON,127282.0,white,high,RW02,3332.0,1655.0,842.0,2564.0,0.645475819033,0.328393135725,FULTON,both
124,RW10,FULTON,119088.0,white,high,RW10,2934.0,1598.0,633.0,2276.0,0.702108963093,0.278119507909,FULTON,both
125,RW15,FULTON,166797.0,white,high,RW15,2822.0,1599.0,540.0,2170.0,0.736866359447,0.248847926267,FULTON,both
126,RW01,FULTON,115974.0,white,high,RW01,4122.0,2228.0,877.0,3160.0,0.705063291139,0.27753164557,FULTON,both
127,RW03,FULTON,75499.0,,mid,RW03,3366.0,1171.0,1091.0,2307.0,0.507585609016,0.472908539228,FULTON,both
128,MT BETHEL 03,COBB,156901.0,white,high,MT BETHEL 03,2587.0,1362.0,588.0,1975.0,0.689620253165,0.297721518987,COBB,both
129,MT BETHEL 01,COBB,152625.0,white,high,MT BETHEL 01,3786.0,2163.0,748.0,2977.0,0.726570372859,0.251259657373,COBB,both
130,SS18B,FULTON,100689.0,white,high,SS18B,209.0,115.0,60.0,176.0,0.653409090909,0.340909090909,FULTON,both
131,TIMBER RIDGE 01,COBB,153922.0,white,high,TIMBER RIDGE 01,2346.0,1309.0,516.0,1871.0,0.69962586852,0.275788348477,COBB,both
132,ROSWELL 01,COBB,128827.0,white,high,ROSWELL 01,2637.0,1473.0,622.0,2135.0,0.689929742389,0.291334894614,COBB,both
133,SS02A,FULTON,100683.0,white,high,SS02A,1020.0,431.0,356.0,801.0,0.538077403246,0.444444444444,FULTON,both
134,SS19B,FULTON,79361.0,white,mid,SS19B,1816.0,480.0,724.0,1223.0,0.392477514309,0.591986917416,FULTON,both
135,SS19A,FULTON,62939.0,,mid,SS19A,2449.0,489.0,1093.0,1603.0,0.305053025577,0.681846537742,FULTON,both
136,SS29B,FULTON,103805.0,white,high,SS29B,10.0,3.0,2.0,5.0,0.6,0.4,FULTON,both
137,SS26,FULTON,56852.0,,mid,SS26,2605.0,371.0,1396.0,1793.0,0.206915783603,0.77858337981,FULTON,both
138,SS20,FULTON,68820.0,,mid,SS20,1563.0,462.0,626.0,1110.0,0.416216216216,0.563963963964,FULTON,both
139,08M,FULTON,138528.0,white,high,08M,1391.0,810.0,249.0,1066.0,0.759849906191,0.233583489681,FULTON,both
140,07J,FULTON,116188.0,white,high,07J,2437.0,846.0,854.0,1731.0,0.488734835355,0.493356441363,FULTON,both
141,07H,FULTON,113285.0,white,high,07H,1736.0,766.0,572.0,1353.0,0.566149297857,0.422764227642,FULTON,both
142,08G,FULTON,120699.0,white,high,08G,2366.0,815.0,701.0,1534.0,0.531290743155,0.456975228162,FULTON,both
143,08C,FULTON,240648.0,white,high,08C,1256.0,822.0,193.0,1020.0,0.805882352941,0.189215686275,FULTON,both
144,08B,FULTON,210066.0,white,high,08B,2958.0,1595.0,643.0,2264.0,0.704505300353,0.284010600707,FULTON,both
145,RW08,FULTON,110477.0,white,high,RW08,1936.0,1056.0,384.0,1457.0,0.724776938916,0.263555250515,FULTON,both
146,RW18,FULTON,137974.0,white,high,RW18,2007.0,1128.0,418.0,1573.0,0.717101080737,0.265734265734,FULTON,both
147,RW16,FULTON,105083.0,white,high,RW16,1572.0,846.0,374.0,1237.0,0.683912691997,0.302344381568,FULTON,both
148,RW12A,FULTON,107076.0,white,high,RW12A,2439.0,1357.0,586.0,1970.0,0.68883248731,0.297461928934,FULTON,both
149,RW12B,FULTON,101424.0,white,high,RW12B,699.0,306.0,140.0,452.0,0.676991150442,0.309734513274,FULTON,both
150,RW12B,FULTON,101424.0,white,high,RW12B,699.0,306.0,140.0,452.0,0.676991150442,0.309734513274,FULTON,both
151,DUNWOODY LIBRARY,DEKALB,165825.0,white,high,DUNWOODY LIBRARY,2235.0,1383.0,506.0,1917.0,0.721439749609,0.26395409494,DEKALB,both
152,AUSTIN,DEKALB,170720.0,white,high,AUSTIN,2269.0,1403.0,489.0,1919.0,0.731109953101,0.254820218864,DEKALB,both
153,MT. VERNON EAST,DEKALB,160926.0,white,high,MT. VERNON EAST,2286.0,1402.0,512.0,1934.0,0.724922440538,0.264736297828,DEKALB,both
154,SS15B,FULTON,68215.0,white,mid,SS15B,1467.0,354.0,595.0,968.0,0.365702479339,0.614669421488,FULTON,both
155,SS17,FULTON,46682.0,white,low,SS17,3069.0,1373.0,820.0,2219.0,0.618747183416,0.369535826949,FULTON,both
156,RW07,FULTON,44898.0,hispanic,low,RW07,1364.0,170.0,625.0,804.0,0.21144278607,0.77736318408,FULTON,both
157,AP03,FULTON,60386.0,,mid,AP03,596.0,87.0,248.0,335.0,0.259701492537,0.740298507463,FULTON,both
158,RW05,FULTON,61676.0,,mid,RW05,1771.0,492.0,655.0,1172.0,0.419795221843,0.558873720137,FULTON,both
159,AP021,FULTON,96833.0,white,mid,AP021,2274.0,1073.0,569.0,1674.0,0.640979689367,0.33990442055,FULTON,both
160,RW06,FULTON,91284.0,white,mid,RW06,2518.0,1095.0,696.0,1829.0,0.598687807545,0.380535811919,FULTON,both
161,RW13,FULTON,109743.0,white,high,RW13,2993.0,1514.0,756.0,2328.0,0.650343642612,0.324742268041,FULTON,both
162,AP01D,FULTON,88568.0,white,mid,AP01D,849.0,369.0,198.0,583.0,0.632933104631,0.339622641509,FULTON,both
163,AP02B,FULTON,67794.0,white,mid,AP02B,400.0,198.0,91.0,292.0,0.678082191781,0.311643835616,FULTON,both
164,AP022,FULTON,67786.0,white,mid,AP022,1716.0,698.0,470.0,1186.0,0.588532883642,0.39629005059,FULTON,both
165,EP071,FULTON,46343.0,black,low,EP071,1708.0,170.0,1002.0,1183.0,0.143702451395,0.846999154691,FULTON,both
166,OAK 1,CLAYTON,39880.0,black,low,OAK 1,2110.0,25.0,1119.0,1144.0,0.0218531468531,0.978146853147,CLAYTON,both
167,CP02,FULTON,70777.0,,mid,CP02,869.0,96.0,463.0,561.0,0.171122994652,0.825311942959,FULTON,both
168,CP01B,FULTON,71343.0,,mid,CP01B,372.0,82.0,193.0,279.0,0.293906810036,0.691756272401,FULTON,both
169,AP12A,FULTON,89684.0,white,mid,AP12A,2101.0,728.0,663.0,1404.0,0.518518518519,0.472222222222,FULTON,both
170,AP13,FULTON,129749.0,white,high,AP13,2153.0,1041.0,506.0,1565.0,0.66517571885,0.323322683706,FULTON,both
171,JC14,FULTON,253596.0,white,high,JC14,2136.0,1147.0,450.0,1609.0,0.712865133623,0.279676817899,FULTON,both
172,AP14,FULTON,127972.0,white,high,AP14,2670.0,1331.0,676.0,2039.0,0.65277096616,0.331535066209,FULTON,both
173,JC15,FULTON,137213.0,white,high,JC15,644.0,210.0,240.0,463.0,0.453563714903,0.518358531317,FULTON,both
174,JC10,FULTON,119267.0,white,high,JC10,2006.0,748.0,629.0,1404.0,0.532763532764,0.448005698006,FULTON,both
175,AP09A,FULTON,108953.0,white,high,AP09A,3685.0,1652.0,978.0,2673.0,0.618032173588,0.365881032548,FULTON,both
176,121 PINCKNEYVILLE X,GWINNETT,117246.0,white,high,121 PINCKNEYVILLE X,2514.0,1155.0,790.0,1988.0,0.580985915493,0.397384305835,GWINNETT,both
177,056 DULUTH C,GWINNETT,66304.0,white,mid,056 DULUTH C,1821.0,775.0,592.0,1399.0,0.553967119371,0.423159399571,GWINNETT,both
178,JC11,FULTON,113186.0,white,high,JC11,2816.0,1440.0,580.0,2040.0,0.705882352941,0.28431372549,FULTON,both
179,JC09,FULTON,110320.0,white,high,JC09,2456.0,979.0,766.0,1776.0,0.551238738739,0.431306306306,FULTON,both
180,JC07,FULTON,126300.0,white,high,JC07,3429.0,1396.0,920.0,2339.0,0.59683625481,0.393330483112,FULTON,both
181,JC08,FULTON,138461.0,white,high,JC08,2377.0,1078.0,648.0,1762.0,0.61180476731,0.367763904654,FULTON,both
182,JC05,FULTON,100992.0,white,high,JC05,1872.0,784.0,535.0,1333.0,0.588147036759,0.401350337584,FULTON,both
183,JC04B,FULTON,121194.0,white,high,JC04B,213.0,85.0,65.0,154.0,0.551948051948,0.422077922078,FULTON,both
184,JC03A,FULTON,101116.0,white,high,JC03A,413.0,191.0,103.0,297.0,0.643097643098,0.346801346801,FULTON,both
185,JC04A,FULTON,164014.0,white,high,JC04A,3664.0,1727.0,926.0,2693.0,0.641292239139,0.34385443743,FULTON,both
186,JC03B,FULTON,100880.0,white,high,JC03B,1200.0,446.0,399.0,859.0,0.519208381839,0.464493597206,FULTON,both
187,JC06,FULTON,138446.0,white,high,JC06,2285.0,1129.0,442.0,1598.0,0.706508135169,0.276595744681,FULTON,both
188,111 DULUTH H,GWINNETT,78608.0,white,mid,111 DULUTH H,1961.0,896.0,555.0,1469.0,0.609938733833,0.377808032675,GWINNETT,both
