ID,DATA,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY_NUM,COUNTY_NAM,FIPS2,2012_preci,avg_income,race
5223491.0,1488.0,121ML07A,ML07A,ML07A,60,FULTON,121,642.0,224846.0,white
4675026.0,1378.0,12112B,12B,12B,60,FULTON,121,540.0,57822.0,black
4675097.0,1389.0,12112S,12S,12S,60,FULTON,121,550.0,42937.0,black
4675132.0,1244.0,12101J,01J,01J,60,FULTON,121,408.0,33628.0,black
4675205.0,1238.0,12101C1,01C1,01C1,60,FULTON,121,402.0,37301.0,black
4675311.0,1377.0,12112A,12A,12A,60,FULTON,121,539.0,57958.0,black
4675364.0,1282.0,12104E,04E,04E,60,FULTON,121,446.0,28806.0,black
4675430.0,1284.0,12104H2,04H2,04H2,60,FULTON,121,448.0,26122.0,black
4675477.0,1280.0,12104B,04B,04B,60,FULTON,121,444.0,46607.0,black
4182724.0,1267.0,12103E,03E,03E,60,FULTON,121,431.0,21002.0,black
4182796.0,1278.0,12103U,03U,03U,60,FULTON,121,442.0,29458.0,black
4182855.0,1270.0,12103L,03L,03L,60,FULTON,121,434.0,54863.0,black
4182909.0,1271.0,12103M,03M,03M,60,FULTON,121,435.0,59903.0,white
4182966.0,1272.0,12103N,03N,03N,60,FULTON,121,436.0,33667.0,black
