ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_rac,income_r_1
5047868,2.27,1788,135131,135131,131,SUWANEE E,67,GWINNETT,135,white,145658.999952000012854
5047916,2.21,1661,1354,1354,4,SUWANEE A,67,GWINNETT,135,white,100037.072778000001563
5047982,2.17,1755,13598,13598,98,GOODWINS F,67,GWINNETT,135,white,86616.212071600006311
5048051,2.76,1799,135142,135142,142,SUWANEE F,67,GWINNETT,135,,108954.871968999999808
5048109,2.84,1757,135100,135100,100,SUWANEE B,67,GWINNETT,135,,108992.821251999994274
5048163,2.38,1687,13530,13530,30,CATES C,67,GWINNETT,135,,70953.640445800003363
5084595,2.13,1727,13570,13570,70,GOODWINS B,67,GWINNETT,135,white,102252.999949999997625
5084641,2.75,1683,13526,13526,26,HOG MOUNTAIN A,67,GWINNETT,135,,82901.170436999993399
5084696,2.16,1688,13531,13531,31,HOG MOUNTAIN D,67,GWINNETT,135,white,89986.560527699999511
5084745,4.43,1793,135136,135136,136,HOG MOUNTAIN C,67,GWINNETT,135,white,80519.214858299994376
5084801,4.87,1724,13567,13567,67,PUCKETTS E,67,GWINNETT,135,white,80968.037822199999937
5084859,2.41,1728,13571,13571,71,LAWRENCEVILLE F,67,GWINNETT,135,,80776.939056599992909
5084911,4.50,1801,135144,135144,144,LAWRENCEVILLE M,67,GWINNETT,135,,70796.557916200006730
5084980,5.63,1684,13527,13527,27,HOG MOUNTAIN B,67,GWINNETT,135,white,86588.316059000004316
4302647,1.83,546,067FP01,067FP01,FP01,FULLERS PARK 01,33,COBB,067,white,130850.902409999995143
4302716,1.87,626,067SM01,067SM01,SM01,SEWELL MILL 01,33,COBB,067,white,125454.990659000002779
4302796,1.94,577,067MD01,067MD01,MD01,MURDOCK 01,33,COBB,067,white,126857.326325999994879
4302856,1.99,597,067MT04,067MT04,MT04,MT BETHEL 04,33,COBB,067,white,209538.999634999985574
4302911,1.67,534,067EA01,067EA01,EA01,EASTSIDE 01,33,COBB,067,white,122972.150886000003084
4302972,1.19,531,067DO01,067DO01,DO01,DODGEN 01,33,COBB,067,white,135135.423005999997258
4303023,1.43,527,067CR01,067CR01,CR01,CHESTNUT RIDGE 01,33,COBB,067,white,126045.486548999993829
4303089,1.67,622,067RW02,067RW02,RW02,ROSWELL 02,33,COBB,067,white,153556.991168000007747
4189043,1.96,648,067WG02,067WG02,WG02,WADE GREEN 02,33,COBB,067,white,84696.192692700002226
4189087,1.11,513,067BG02,067BG02,BG02,BIG SHANTY 02,33,COBB,067,white,101215.728602000002866
4189152,1.03,618,067PT01,067PT01,PT01,PITNER 01,33,COBB,067,white,111668.999884999997448
4189207,3.75,523,067CK01,067CK01,CK01,CHALKER 01,33,COBB,067,white,57427.908314400003292
4189282,1.55,614,067PR01,067PR01,PR01,PALMER 01,33,COBB,067,white,87389.938606299998355
4189336,3.58,511,067BF03,067BF03,BF03,BELLS FERRY 03,33,COBB,067,white,77375.592799399993964
4088718,0.37,1237,12103E,12103E,03E,03E,60,FULTON,121,black,19653.498394700000063
4088790,0.22,1256,12104J,12104J,04J,04J,60,FULTON,121,black,25242.292841999998927
4088850,0.27,1242,12103L,12103L,03L,03L,60,FULTON,121,black,60667.999725900001067
4088903,0.71,1243,12103M,12103M,03M,03M,60,FULTON,121,white,57334.311990900001547
4088960,0.69,1244,12103N,12103N,03N,03N,60,FULTON,121,black,29787.499421699998493
4089035,0.57,1320,12109G1,12109G1,09G1,09G1,60,FULTON,121,white,67895.018272300003446
4089071,1.26,1321,12109G2,12109G2,09G2,09G2,60,FULTON,121,white,67895.000088300002972
4089133,0.44,1322,12109H,12109H,09H,09H,60,FULTON,121,white,67895.000000000000000
4709230,1.06,1310,12108M,12108M,08M,08M,60,FULTON,121,white,135365.035418999992544
4709303,0.58,1295,12107J,12107J,07J,07J,60,FULTON,121,white,125829.486436999999569
4709350,0.45,1294,12107H,12107H,07H,07H,60,FULTON,121,white,129059.000016000005417
4709398,0.57,1305,12108G,12108G,08G,08G,60,FULTON,121,white,118764.009888999993564
4709445,2.09,1300,12108C,12108C,08C,08C,60,FULTON,121,white,256389.389373999991221
4709523,2.00,1299,12108B,12108B,08B,08B,60,FULTON,121,white,245507.920083000004524
4709617,0.53,1280,12106I,12106I,06I,06I,60,FULTON,121,,69900.523023700006888
4756800,3.24,595,067MT01,067MT01,MT01,MT BETHEL 01,33,COBB,067,white,157721.753009000007296
4756865,0.25,1565,121SS18B,121SS18B,SS18B,SS18B,60,FULTON,121,white,90477.000419400006649
4756891,1.22,642,067TR01,067TR01,TR01,TIMBER RIDGE 01,33,COBB,067,white,157506.254458999988856
4756935,0.51,1537,121SS02A,121SS02A,SS02A,SS02A,60,FULTON,121,white,90477.000000000000000
4756981,1.08,1567,121SS19B,121SS19B,SS19B,SS19B,60,FULTON,121,white,77423.006892000004882
4757024,1.02,1566,121SS19A,121SS19A,SS19A,SS19A,60,FULTON,121,,66247.939110799998161
4757069,0.00,1573,121SS29B,121SS29B,SS29B,SS29B,60,FULTON,121,,103129.000000000000000
4757085,0.76,1571,121SS26,121SS26,SS26,SS26,60,FULTON,121,,57995.784113499998057
4757134,0.94,1568,121SS20,121SS20,SS20,SS20,60,FULTON,121,,68393.684578500004136
4757210,2.37,1569,121SS22,121SS22,SS22,SS22,60,FULTON,121,,52899.405146999997669
4757297,1.34,1481,121RW11A,121RW11A,RW11A,RW11A,60,FULTON,121,white,92566.177128099996480
5102293,1.11,1489,121RW19,121RW19,RW19,RW19,60,FULTON,121,white,187821.165650999988429
5102342,1.35,1450,121ML012,121ML012,ML012,ML012,60,FULTON,121,white,177525.000024000008125
5102394,1.22,1451,121ML01B,121ML01B,ML01B,ML01B,60,FULTON,121,white,178143.432728000014322
5102464,0.89,1381,121AP04A,121AP04A,AP04A,AP04A,60,FULTON,121,white,138431.719884999998612
5102527,3.24,1449,121ML011,121ML011,ML011,ML011,60,FULTON,121,white,177524.999989000003552
5102671,0.34,1382,121AP04B,121AP04B,AP04B,AP04B,60,FULTON,121,white,177524.999494999996386
4587698,0.61,1267,12105A2,12105A2,05A2,05A2,60,FULTON,121,white,74509.831588300003204
4587787,0.17,1239,12103G,12103G,03G,03G,60,FULTON,121,black,15389.000147700000525
4587836,0.50,1248,12103T,12103T,03T,03T,60,FULTON,121,black,44311.887166300002718
4587898,0.16,1246,12103P2,12103P2,03P2,03P2,60,FULTON,121,black,21209.000000000000000
4587937,0.36,1253,12104F,12104F,04F,04F,60,FULTON,121,white,49896.510638300002029
4587984,0.62,1245,12103P1A,12103P1A,03P1A,03P1A,60,FULTON,121,white,53680.018610699997225
4588058,0.83,1241,12103I,12103I,03I,03I,60,FULTON,121,,66113.854175999993458
5109990,0.92,1384,121AP06,121AP06,AP06,AP06,60,FULTON,121,white,111870.317794999995385
