Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county
METROPOLITAN,2289,79,1038,1150,0,0,DEKALB
MIDVALE ELEM,1725,675,474,1179,0,0,DEKALB
MIDVALE ROAD,2372,533,754,1320,0,0,DEKALB
MIDWAY ELEM,2247,70,838,929,0,0,DEKALB
MILLER-ELDRIDGE L. M,2526,88,1196,1295,0,0,DEKALB
MILLER GROVE HIGH,2300,35,1272,1322,0,0,DEKALB
MILLER GROVE MIDDLE,3006,31,1199,1239,0,0,DEKALB
MILLER GROVE ROAD,1797,46,1054,1103,0,0,DEKALB
MONTCLAIR ELEM,1399,76,410,497,0,0,DEKALB
MONTGOMERY ELEM,2041,703,468,1211,0,0,DEKALB
MONTREAL,1344,252,445,715,0,0,DEKALB
MT. VERNON EAST,2216,1025,385,1438,0,0,DEKALB
MT. VERNON WEST,1930,727,423,1175,0,0,DEKALB
NORTH DECATUR,1342,119,471,607,0,0,DEKALB
NORTH HAIRSTON,1663,106,668,787,0,0,DEKALB
NORTH PEACHTREE,1469,295,369,681,0,0,DEKALB
NORTHLAKE,1244,335,435,793,0,0,DEKALB
OAK GROVE ELEM,1874,531,599,1159,0,0,DEKALB
OAK VIEW ELEM,3621,51,1825,1887,0,0,DEKALB
OAKCLIFF ELEM,1301,197,319,538,0,0,DEKALB
OAKHURST,2499,178,1370,1572,0,0,DEKALB
PANOLA,1165,45,649,698,0,0,DEKALB
PANOLA ROAD,1561,9,370,380,0,0,DEKALB
PANOLA WAY ELEM,1542,25,592,624,0,0,DEKALB
PEACHCREST ELEM,1647,76,624,717,0,0,DEKALB
PEACHTREE MIDDLE,2629,381,686,1092,0,0,DEKALB
PINE LAKE,478,42,261,305,0,0,DEKALB
PINEY GROVE,1378,22,507,541,0,0,DEKALB
PLEASANTDALE ELEM,3011,222,769,1018,0,0,DEKALB
PONCE DE LEON,1988,189,936,1149,0,0,DEKALB
PRINCETON ELEM,1709,43,856,909,0,0,DEKALB
RAINBOW ELEM,2974,75,1624,1709,0,0,DEKALB
REDAN ELEM,2306,44,1199,1251,0,0,DEKALB
REDAN MIDDLE,1932,65,964,1037,0,0,DEKALB
REDAN ROAD,2131,44,1020,1076,0,0,DEKALB
REDAN-TROTTI LIBRARY,2928,52,1418,1478,0,0,DEKALB
REHOBOTH,1754,367,626,1027,0,0,DEKALB
RENFROE MIDDLE,1354,104,784,908,0,0,DEKALB
ROCK CHAPEL ELEM,2090,40,1025,1072,0,0,DEKALB
ROCK CHAPEL ROAD,2606,125,1317,1446,0,0,DEKALB
ROCKBRIDGE ELEM,2604,102,914,1029,0,0,DEKALB
ROCKBRIDGE ROAD,2783,87,1605,1700,0,0,DEKALB
ROWLAND ELEM,2686,84,1003,1100,0,0,DEKALB
ROWLAND ROAD,1567,99,754,857,0,0,DEKALB
SAGAMORE HILLS ELEM,2535,752,946,1734,0,0,DEKALB
SALEM MIDDLE,2738,53,1590,1649,0,0,DEKALB
SCOTT,2045,267,878,1170,0,0,DEKALB
SHADOW ROCK ELEM,3272,97,1803,1919,0,0,DEKALB
SHAMROCK,1352,311,502,833,0,0,DEKALB
SHAW-ROBERT SHAW ELE,2794,182,1061,1274,0,0,DEKALB
SILVER LAKE,3464,1009,674,1726,0,0,DEKALB
SKYLAND,1642,457,394,886,0,0,DEKALB
SMOKE RISE ELEM,1801,650,603,1269,0,0,DEKALB
SNAPFINGER ELEM,1535,28,907,941,0,0,DEKALB
SNAPFINGER ROAD NORT,1895,57,843,913,0,0,DEKALB
SNAPFINGER ROAD SOUT,1596,44,915,970,0,0,DEKALB
SOUTH DESHON,2643,51,1307,1366,0,0,DEKALB
