DISTRICT,income,race,Precinct Description
089SL,43697.5894288,black,STONEVIEW ELEM
089PC,72649.0000008,black,PRINCETON ELEM
089RC,72655.0937844,black,REDAN ELEM
089SV,72877.0000043,black,STEPHENSON HIGH
12108L,87289.0007578,white,08L
12102W,87766.0,white,02W
12103F,86784.2560239,white,03F
12102A,46303.0001382,white,02A
12106R,37734.6990054,hispanic,06R
12106N,109896.950179,white,06N
12106L2,87766.0000903,white,06L2
12102S,57249.8912256,,02S
12105J,42941.585985,black,05J
12101I,34378.0001593,black,01I
12102B,57686.6943556,,02B
12105C,34376.6748439,black,05C
12105K,30532.5617551,black,05K
12105D,52260.4903887,,05D
12105F,29512.0,white,05F
12102L2,100864.999874,white,02L2
12102C,29512.0016958,white,02C
12102L1,45188.9725985,hispanic,02L1
12102K,42950.0,,02K
12108P,67895.2872147,white,08P
12108K,138803.068553,white,08K
089CP,57954.9855647,black,CROSSROADS
089FA,48858.0000259,black,FAIRINGTON ELEM
089PR,39873.7596373,black,PANOLA ROAD
089PI,65558.0327844,black,PANOLA WAY ELEM
089YA,65615.1257733,black,YOUNG ROAD
089RM,50272.9792647,black,REDAN MIDDLE
089MC,55545.1416782,black,MARBUT ELEM
089RK,55080.0000084,black,REDAN ROAD
089WG,51184.0000336,black,WOODRIDGE ELEM
089RJ,63090.4975492,black,ROWLAND ROAD
089WK,47216.0000308,black,WHITE OAK
089FM,56095.4040655,black,FREEDOM MIDDLE
089PE,42070.0496019,black,PINE LAKE (PIN)
089HA,50233.8643098,black,HAMBRICK ELEM
089RE,41197.1690337,black,ROCKBRIDGE
089SJ,36927.3545,black,STONE MILL ELEM
089MA,61031.4152713,black,MILLER-ELDRIDGE L MILLER ELEM
13545,73877.0920981,black,GARNERS B
13532,97661.8156498,white,BERKSHIRE D
13511,48747.0001917,,BERKSHIRE A
135120,60881.664558,,BERKSHIRE P
135109,98089.3071449,white,BERKSHIRE M
13574,45760.9254793,,PINCKNEYVILLE Q
135103,51231.4140089,,BERKSHIRE L
135118,82412.7626273,white,GARNERS F
135112,77794.2471374,white,BERKSHIRE N
13533,91737.9999169,white,BERKSHIRE E
13592,101415.695334,white,BERKSHIRE J
13549,80846.954552,white,GARNERS C
13514,106134.001048,white,GARNERS A
089FB,198544.827023,white,FERNBANK ELEM
089EG,119116.973185,white,EMORY SOUTH
089JA,36435.5899204,white,JOHNSON ESTATES (ATL)
089BC,88264.1679836,white,BRIAR VISTA ELEM
089DH,134869.307608,white,DRUID HILLS HIGH
089ER,61829.8290046,white,EMORY ROAD
