v_id,race,avg_income
091CHAUN,white,65133
091CLARK,white,65558
091EDDIN,white,49441
091EMPIR,,39326
091JAYBI,white,65558
091JONES,white,54776
091LEE,white,50733
091MCCRA,white,56560
091MILAN,white,61628
091MITCH,,48834
091MULLI,,39387
091PLAIN,white,43917
091PONDT,black,48536
091RAWLI,black,41695
091VILUL,,49068
091YONKE,,39009
09310,white,47325
0932,white,49560
0935,white,61318
0937,white,42755
0938,white,53489
0951,white,54838
09510,,40951
09511,,35474
09512,white,57795
09513,white,45172
09514,white,46044
09515,white,76681
09516,white,52140
09517,white,50078
09518,white,44794
09519,white,32023
0952,,37840
09520,white,42328
09521,white,55629
09522,white,58372
09523,white,44888
09524,black,35149
09525,white,69216
09526,black,48574
09527,white,55078
09528,white,45698
0953,,51227
0954,white,71682
0955,white,53559
0956,white,59298
0957,white,54844
0958,white,44543
0959,black,47083
0971258,white,67593
0971259,white,67132
0971260,white,93374
0971270,black,49028
0971271,white,79586
0971272,white,72841
0971273,,56255
0971274,black,49592
0971275,black,60741
0971276,,59496
097729,black,47565
097730,,54930
097731,black,55743
097732,black,47565
097733,white,61201
097734,white,57764
097735,white,63980
097736N,white,61860
097736S,,90798
097737,,76342
097738,white,69078
097739,white,86688
097740,,84040
097784,black,70544
097785,black,66598
099A,white,38084
099B,black,44390
099CO,white,42882
099CS,white,38016
099CUBA,black,49258
099D,white,38084
099F,,36871
099H,black,36827
099JAKIN,white,38016
099L,black,43441
099U,white,42882
1011058,white,47709
1031A,white,74164
1031B,white,70384
1031C,white,75413
1031D,white,73901
1032A,white,73773
1032B,white,73959
1032C,white,71069
1033A,white,110734
1033B,white,89340
1033C,white,76629
1033D,white,60272
1034A,white,69525
1034B,white,71138
1034C,white,65230
1035A,white,78177
1035B,white,71393
1035C,white,83118
105189,,40444
105190,white,87660
105191,white,87765
105192,white,87766
105193,white,76326
105196,white,57265
105197,white,51551
105199,white,57266
105201,white,60225
105202,white,32085
105315,,47916
1071208,white,46621
1071333,white,48072
1071429,white,62392
1071452,white,48532
1071502,white,55231
1071560,white,62392
1071748,,45895
10750,white,57565
10752,white,47582
10753,white,47512
10757,white,46559
10758,white,61299
10911,white,49620
111COLW,white,61407
111FAIR,white,100979
111FLIN,white,61363
111HEMP,white,78234
111HOTH,white,61362
111MINE,white,97536
111MOBI,white,61973
111MORG,white,70512
111NOON,white,67886
111SKEN,white,67886
111SUGC,white,56294
111TOCC,white,53561
1131,black,85046
11310,white,99901
11311,white,86381
11312,white,88550
11313,white,128340
11314,white,120342
11315,white,117273
11316,white,128634
11317,white,104550
11318,white,95842
11319,white,111966
1132,white,111986
11320,white,86382
11321,white,101693
11322,white,138835
11323,black,91506
11324,white,78477
11325,white,109899
11326,white,116626
11327,white,118734
11328,,82310
11329,white,78887
1133,black,91505
11330,white,79231
11331,white,110930
11332,white,95978
11333,white,86382
11334,white,132092
11335,white,82945
11336,white,92248
1134,white,69403
1135,white,83583
1136,white,73951
1137,black,91505
1138,white,84038
1139,white,97665
1151,hispanic,50228
11510,white,62557
115105,white,66170
115110,white,46543
115115,white,46249
115125,black,45909
115130,white,59986
115135,white,32837
115140,white,57793
11515,white,53952
11520,black,39189
11525,white,73466
11530,white,69748
11535,white,66504
11540,white,66504
11545,black,39188
11550,hispanic,36426
11555,white,57959
11560,white,58670
11565,white,64423
11575,,73416
11576,hispanic,43459
11580,white,72875
11585,white,54622
11590,white,47946
1171,white,131508
11710,white,108759
11715,white,82941
11716,white,77386
11719,white,135900
1172,white,110585
11721,white,162487
11725,white,136453
11727,white,82303
11729,white,104465
1173,white,104245
1174,white,79493
1175,white,102486
1176,white,77113
1177,white,67050
1178,white,115202
1191,white,46504
11910,white,47270
11911,white,46504
11912,white,46504
11913,white,46504
1192,white,53468
1193,white,53465
1194,white,38462
1195,white,43911
1196,white,44400
1197,white,48344
1198,white,48257
1199,white,48344
12101A,white,92956
12101B,,80095
12101C1,black,38173
12101C2,black,35120
12101D,black,52036
12101E,,90784
12101F,black,25282
12101G,,44017
12101H,black,24479
12101I,black,34378
12101J,black,30444
12101P,black,39242
12101R,black,20891
12101S,black,36673
12101T,,55133
12102A,white,46303
12102B,,57686
12102C,white,29512
12102D,,51385
12102E,black,25350
12102F1,white,42909
12102F2,hispanic,27533
12102G,black,59375
12102J,hispanic,27533
12102K,,42949
12102L1,hispanic,45188
12102L2,white,100865
12102S,black,57249
12102W,white,87766
12103A,black,27740
12103B,black,27406
12103C,black,39291
12103D,black,27340
12103E,black,19653
12103F,white,86784
12103G,black,15388
12103H,black,35997
12103I,white,66113
12103L,black,60668
12103M,white,57334
12103N,black,29787
12103P1A,white,53680
12103P2,black,21209
12103S,black,35997
12103T,black,44311
12104A,black,30342
12104B,black,43957
12104C,black,35651
12104D,black,35651
12104F,white,49893
12104G,black,36778
12104I,black,53217
12104J,black,25243
12104K,black,35074
12104L,black,36130
12104M,black,21568
12104S,black,46546
12104T,black,35386
12104V,black,24285
12104W,black,38930
12104X1,black,35759
12104X2,black,35959
