,income,precinct_n,race
521,114410.028123,OAKDALE 01,white
522,96528.8662411,NICKAJACK 01,white
523,117261.09756,SMYRNA 6A,white
524,101153.096721,VININGS 03,white
525,85128.5831797,VININGS 02,
526,63168.5304485,SMYRNA 2A,
527,62805.5286894,SMYRNA 1A,
528,84439.8843064,MARIETTA 6B,white
529,71124.8854385,ELIZABETH 02,white
530,69450.4283272,ELIZABETH 04,white
531,77698.3457055,SEWELL MILL 03,white
532,100849.673996,ELIZABETH 03,white
533,107569.000056,ELIZABETH 05,white
534,67964.3714773,SALEM MIDDLE,black
535,79162.9997618,MILLER GROVE ROAD,black
536,37708.5424923,COLUMBIA ELEM,black
537,53082.3465227,FLAT SHOALS LIBRARY,black
538,48321.456227,COLUMBIA MIDDLE,black
539,31018.0001088,TONEY ELEM,black
540,58064.2778009,KNOLLWOOD ELEM,black
541,39815.870019,WADSWORTH ELEM,black
542,49201.5433753,SNAPFINGER ELEM,black
543,43949.9557506,PINCKNEYVILLE O,hispanic
544,48601.4434474,PINCKNEYVILLE F,hispanic
545,46957.0349528,PINCKNEYVILLE N,
546,60236.9999293,NORTH HAIRSTON,black
547,58317.6675457,BROCKETT ELEM,
548,80120.3323567,LAWRENCEVILLE G,
549,33750.9787657,DULUTH K,
550,72921.5412114,DULUTH B,
551,110492.900219,DULUTH G,
552,44527.0956843,MARTINS E,
553,80415.67377,DULUTH F,
554,104633.557229,DULUTH I,
555,145436.99994,JC01,
556,98014.0090971,DULUTH A,white
557,41417.7465845,MEMORIAL SOUTH,black
558,43097.1164635,MEMORIAL NORTH,black
559,56502.0,WESLEY CHAPEL LIBRAR,black
560,60566.2389816,SNAPFINGER ROAD S,black
561,65251.9999564,MCWILLIAMS,black
562,47983.0366455,MIDDLE GROVE MIDDLE,black
563,53747.6837004,BETHUNE MIDDLE,black
564,71286.1437994,STONE MOUNTAIN ELEM,black
565,73882.004222,WYNBROOKE ELEM,black
566,77019.3781422,STEPHENSON MIDDLE,black
567,76661.6416358,SOUTH DESHON,black
568,68808.0899946,GARNERS D,black
569,47316.0002603,VALLEY BROOK,
570,53268.7732685,SHAW-ROBERT SHAW ELE,black
571,27600.0000297,COVINGTON HWY,black
572,35326.7998836,ROWLAND ELEM,black
573,58731.7910895,DUNAIRE ELEM,black
574,63471.9998234,ALLGOOD ELEM,black
575,37167.245448,INDIAN CREEK ELEM,black
576,37306.7694379,CLARKSTON (CLA),black
577,93438.5673772,CATES A,white
578,70051.9971414,CATES L,
579,80793.2614533,BAYCREEK J,
580,78720.2706164,BAYCREEK B,
581,76728.0000797,BAYCREEK F,white
582,101025.320875,CATES N,white
583,89086.6851566,BAYCREEK A,white
584,48606.0125066,MARTINS F,
585,58238.2312173,BERKSHIRE F,
586,82742.4891836,BERKSHIRE O,white
587,59659.7987336,MARTINS C,
588,52116.1756184,MARTINS D,
589,62145.012094,MARTINS I,
590,47118.6057567,MARTINS J,
591,56859.2083175,ROCKBRIDGE E,black
592,124374.241597,SS12,white
593,108524.999954,SS07C,white
594,108524.999331,SS07B,white
595,84328.9999613,SS07A,white
596,108524.991486,SS08B,white
597,90477.0,SS02B,white
598,84329.0001405,SS08C,white
599,74517.0043037,SS04,
600,108525.000018,SS08A,white
601,108525.020545,SS08D,white
602,103129.00006,SS29A,
603,91469.3933821,LAVISTA,
604,45081.057745,06J,
605,72178.7174635,06E,white
606,74875.0001423,06Q,white
607,59200.5701212,06S,white
608,59582.2674532,06H,white
609,71373.3689554,06D,white
610,66331.6333265,MCNAIR HIGH,black
611,55563.9999656,LITHONIA HIGH,black
612,49647.55742,REDAN-TROTTI LIBRARY,black
613,56197.9405044,WOODROW ROAD,black
614,48247.0,LITHONIA (LIT),black
615,43697.5894288,STONEVIEW ELEM,black
616,72649.0000008,PRINCETON ELEM,black
617,72655.0937844,REDAN ELEM,black
618,72877.0000043,STEPHENSON HIGH,black
619,87289.0007578,08L,white
620,87766.0,02W,white
621,86784.2560239,03F,white
622,46303.0001382,02A,white
623,37734.6990054,06R,hispanic
624,109896.950179,06N,white
625,87766.0000903,06L2,white
626,57249.8912256,02S,
627,42941.585985,05J,black
628,34378.0001593,01I,black
629,57686.6943556,02B,
630,34376.6748439,05C,black
631,30532.5617551,05K,black
632,52260.4903887,05D,
633,29512.0,05F,white
634,100864.999874,02L2,white
635,29512.0016958,02C,white
636,45188.9725985,02L1,hispanic
637,42950.0,02K,
638,67895.2872147,08P,white
639,138803.068553,08K,white
