,county,dem_votes,precinct,rep_votes,total,rep_p,dem_p
245,DEKALB,1569,CROSSROADS,78,1647,0.0473588342441,0.952641165756
246,DEKALB,1077,DORAVILLE NORTH,380,1457,0.260809883322,0.739190116678
247,DEKALB,488,DORAVILLE SOUTH,203,691,0.293777134588,0.706222865412
248,DEKALB,1903,DRESDEN ELEM,726,2629,0.276150627615,0.723849372385
249,DEKALB,1554,DRUID HILLS HIGH,279,1833,0.152209492635,0.847790507365
250,DEKALB,986,DUNAIRE ELEM,133,1119,0.118856121537,0.881143878463
251,DEKALB,1069,DUNWOODY,722,1791,0.403126744835,0.596873255165
252,DEKALB,662,DUNWOODY HIGH,766,1428,0.536414565826,0.463585434174
253,DEKALB,779,DUNWOODY LIBRARY,1039,1818,0.571507150715,0.428492849285
254,DEKALB,2095,EAST LAKE ELEM,186,2281,0.0815431828146,0.918456817185
255,DEKALB,787,EMBRY HILLS,508,1295,0.392277992278,0.607722007722
256,DEKALB,663,EMORY ROAD,124,787,0.157560355781,0.842439644219
257,DEKALB,1728,EMORY SOUTH,470,2198,0.213830755232,0.786169244768
258,DEKALB,2603,EPWORTH,281,2884,0.0974341192788,0.902565880721
259,DEKALB,1222,EVANSDALE ELEM,510,1732,0.294457274827,0.705542725173
260,DEKALB,2250,FAIRINGTON ELEM,62,2312,0.0268166089965,0.973183391003
261,DEKALB,1300,FERNBANK ELEM,320,1620,0.197530864198,0.802469135802
262,DEKALB,1130,FLAKES MILL FIRE STA,29,1159,0.0250215703192,0.974978429681
263,DEKALB,1705,FLAT ROCK ELEM,58,1763,0.0328984685196,0.96710153148
264,DEKALB,1095,FLAT SHOALS,26,1121,0.0231935771632,0.976806422837
265,DEKALB,1127,FLAT SHOALS ELEM,24,1151,0.0208514335361,0.979148566464
266,DEKALB,1187,FLAT SHOALS LIBRARY,26,1213,0.0214344600165,0.978565539984
267,DEKALB,2080,FLAT SHOALS PARKWAY,71,2151,0.0330079033008,0.966992096699
268,DEKALB,1520,FREEDOM MIDDLE,161,1681,0.0957763236169,0.904223676383
269,DEKALB,1303,GEORGETOWN SQUARE,851,2154,0.395078922934,0.604921077066
270,DEKALB,804,GLENHAVEN,71,875,0.0811428571429,0.918857142857
271,DEKALB,559,GLENNWOOD - 04,77,636,0.12106918239,0.87893081761
272,DEKALB,718,GLENNWOOD - 05,104,822,0.126520681265,0.873479318735
273,DEKALB,965,GLENWOOD ROAD,56,1021,0.0548481880509,0.945151811949
274,DEKALB,1756,GRESHAM ROAD,99,1855,0.0533692722372,0.946630727763
275,DEKALB,1645,HAMBRICK ELEM,197,1842,0.106948968512,0.893051031488
276,DEKALB,940,HARRIS-MARGARET HARR,236,1176,0.200680272109,0.799319727891
277,DEKALB,2200,HARRIS-NARVIE J. HAR,40,2240,0.0178571428571,0.982142857143
278,DEKALB,1677,HAWTHORNE ELEM,590,2267,0.260255844729,0.739744155271
279,DEKALB,1299,HENDERSON MILL ELEM,665,1964,0.338594704684,0.661405295316
280,DEKALB,722,HUGH HOWELL,561,1283,0.437256430242,0.562743569758
281,DEKALB,1310,HUNTLEY HILLS ELEM,503,1813,0.277440706012,0.722559293988
282,DEKALB,965,IDLEWOOD ELEM,258,1223,0.210956663941,0.789043336059
283,DEKALB,842,INDIAN CREEK ELEM,133,975,0.13641025641,0.86358974359
284,DEKALB,689,JOHNSON ESTATES,191,880,0.217045454545,0.782954545455
285,DEKALB,1398,JOLLY ELEM,246,1644,0.149635036496,0.850364963504
286,DEKALB,802,KELLEY CHAPEL ROAD,37,839,0.0441001191895,0.95589988081
287,DEKALB,1492,KELLEY LAKE ELEM,44,1536,0.0286458333333,0.971354166667
288,DEKALB,2801,KING-ML KING JR HIGH,64,2865,0.0223385689354,0.977661431065
289,DEKALB,724,KINGSLEY ELEM,1042,1766,0.590033975085,0.409966024915
290,DEKALB,1185,KNOLLWOOD ELEM,46,1231,0.0373679935012,0.962632006499
291,DEKALB,782,KITTREDGE ELEM,678,1460,0.464383561644,0.535616438356
292,DEKALB,1391,LAKESIDE HIGH,812,2203,0.368588288697,0.631411711303
293,DEKALB,1329,LAVISTA,474,1803,0.262895174709,0.737104825291
294,DEKALB,1016,LAVISTA ROAD,395,1411,0.279943302622,0.720056697378
295,DEKALB,1748,LIN-MARY LIN ELEM,297,2045,0.145232273839,0.854767726161
296,DEKALB,618,LITHONIA,51,669,0.0762331838565,0.923766816143
297,DEKALB,1600,LITHONIA HIGH,33,1633,0.0202082057563,0.979791794244
