County Name,County Code,County Precinct,Precinct Description,Combo#,Cong,Senat,House,Judic,Ward,Schol,Watbd,Supcm,Schob,Fire,Cityl,Commi,Munib,Unnamed: 18
COBB,33,KE2A,KENNESAW 2A,689,11,37,34,7,LRG,4,,,,,LRG,1,,
COBB,33,KE2A,KENNESAW 2A,702,11,37,36,7,LRG,1,,,,,LRG,1,,
COBB,33,KE2B,KENNESAW 2B,686,11,37,34,7,LRG,1,,,,,LRG,1,,
COBB,33,KE3A,KENNESAW 3A,686,11,37,34,7,LRG,1,,,,,LRG,1,,
COBB,33,KE3A,KENNESAW 3A,689,11,37,34,7,LRG,4,,,,,LRG,1,,
COBB,33,KE3A,KENNESAW 3A,700,11,37,35,7,LRG,4,,,,,LRG,3,,
COBB,33,KE3A,KENNESAW 3A,702,11,37,36,7,LRG,1,,,,,LRG,1,,
COBB,33,KE3A,KENNESAW 3A,757,11,37,35,7,LRG,4,,,,,LRG,1,,
COBB,33,KE3A,KENNESAW 3A,780,11,37,34,7,LRG,4,,,,,LRG,3,,
COBB,33,KE3A,KENNESAW 3A,781,11,37,34,7,LRG,1,,,,,LRG,3,,
COBB,33,KE4A,KENNESAW 4A,686,11,37,34,7,LRG,1,,,,,LRG,1,,
COBB,33,KE4A,KENNESAW 4A,696,11,37,35,7,LRG,1,,,,,LRG,1,,
COBB,33,KE5A,KENNESAW 5A,696,11,37,35,7,LRG,1,,,,,LRG,1,,
COBB,33,KE5A,KENNESAW 5A,754,11,37,35,7,LRG,1,,,,,LRG,3,,
COBB,33,KE5B,KENNESAW 5B,754,11,37,35,7,LRG,1,,,,,LRG,3,,
COBB,33,KL01,KELL 01,610,6,32,46,7,,4,,,,,,3,,
COBB,33,KP01,KEMP 01,693,11,37,34,7,,7,,,,,,1,,
COBB,33,KP02,KEMP 02,705,11,37,37,7,,7,,,,,,1,,
COBB,33,KP03,KEMP 03,704,11,37,36,7,,7,,,,,,1,,
COBB,33,LA01,LASSITER 01,605,6,32,44,7,,4,,,,,,3,,
COBB,33,LA01,LASSITER 01,611,6,32,46,7,,5,,,,,,3,,
COBB,33,LI01,LINDLEY 01,741,13,38,39,7,,2,,,,,,2,,
COBB,33,LI01,LINDLEY 01,743,13,38,39,7,,2,,,,,,4,,
COBB,33,LM01,LOST MOUNTAIN 01,704,11,37,36,7,,7,,,,,,1,,
COBB,33,LM02,LOST MOUNTAIN 02,704,11,37,36,7,,7,,,,,,1,,
COBB,33,LM03,LOST MOUNTAIN 03,704,11,37,36,7,,7,,,,,,1,,
COBB,33,LM04,LOST MOUNTAIN 04,703,11,37,36,7,,1,,,,,,1,,
COBB,33,LW01,LEWIS 01,697,11,37,35,7,,1,,,,,,1,,
COBB,33,LW01,LEWIS 01,703,11,37,36,7,,1,,,,,,1,,
COBB,33,MA01,MABLETON 01,727,13,33,38,7,,3,,,,,,4,,
COBB,33,MA01,MABLETON 01,734,13,33,39,7,,3,,,,,,4,,
COBB,33,MA02,MABLETON 02,734,13,33,39,7,,3,,,,,,4,,
COBB,33,MA02,MABLETON 02,744,13,38,39,7,,3,,,,,,4,,
COBB,33,MA03,MABLETON 03,748,13,38,40,7,,2,,,,,,4,,
COBB,33,MA04,MABLETON 04,748,13,38,40,7,,2,,,,,,4,,
COBB,33,MB01,MABRY 01,611,6,32,46,7,,5,,,,,,3,,
COBB,33,MC01,MACLAND 01,727,13,33,38,7,,3,,,,,,4,,
COBB,33,MC01,MACLAND 01,729,13,33,38,7,,7,,,,,,4,,
COBB,33,MD01,MURDOCK 01,608,6,32,45,7,,5,,,,,,3,,
COBB,33,MD01,MURDOCK 01,691,6,32,45,7,,5,,,,,,2,,
COBB,33,ME01,MCEACHERN 01,727,13,33,38,7,,3,,,,,,4,,
COBB,33,ME01,MCEACHERN 01,729,13,33,38,7,,7,,,,,,4,,
COBB,33,MK01,MCCLESKEY 01,610,6,32,46,7,,4,,,,,,3,,
COBB,33,ML01,MCCLURE 01,703,11,37,36,7,,1,,,,,,1,,
COBB,33,MR1A,MARIETTA 1A,636,11,6,42,7,1,,,,,,,2,1,
COBB,33,MR1A,MARIETTA 1A,675,11,33,42,7,1,,,,,,,1,1,
COBB,33,MR1A,MARIETTA 1A,681,11,33,42,7,1,,,,,,,2,1,
COBB,33,MR1A,MARIETTA 1A,760,11,33,37,7,1,,,,,,,1,1,
COBB,33,MR1A,MARIETTA 1A,767,11,33,37,7,1,,,,,,,2,1,
COBB,33,MR1A,MARIETTA 1A,789,11,33,37,7,1,0,,,,,,3,1,
COBB,33,MR1A,MARIETTA 1A,790,11,33,42,7,1,0,,,,,,3,1,
COBB,33,MR1A,MARIETTA 1A,791,11,6,42,7,1,0,,,,,,3,1,
COBB,33,MR2A,MARIETTA 2A,661,11,33,37,7,2,,,,,,,1,2,
COBB,33,MR2A,MARIETTA 2A,766,11,37,34,7,2,,,,,,,1,2,
COBB,33,MR2B,MARIETTA 2B,661,11,33,37,7,2,,,,,,,1,2,
COBB,33,MR2B,MARIETTA 2B,672,11,33,41,7,2,,,,,,,1,2,
COBB,33,MR3A,MARIETTA 3A,656,11,33,34,7,3,,,,,,,1,3,
COBB,33,MR3A,MARIETTA 3A,662,11,33,37,7,3,,,,,,,1,3,
