,PRECINCT_N,ajc_precinct
673,BRIAR VISTA ELEM,BRIAR VISTA ELEM
674,DRUID HILLS HIGH,DRUID HILLS HIGH
675,EMORY ROAD,EMORY ROAD
676,LAVISTA ROAD,LAVISTA ROAD
677,STN MTN MIDDLE,STONE MOUNTAIN MIDDL
678,TUCKER,TUCKER
679,HUGH HOWELL,HUGH HOWELL
680,SMOKE RISE,SMOKE RISE ELEM
681,BERKSHIRE B,BERKSHIRE B
682,BERKSHIRE Q,BERKSHIRE Q
683,SOUTH HAIRSTON,SOUTH HAIRSTON
684,PANOLA,PANOLA
685,SHADOW ROCK ELEM,SHADOW ROCK ELEM
686,STONE MTN CHAMPION (,STONE MOUNTAIN CHAMP
687,STONE MTN LIBRARY (S,STONE MOUNTAIN LIBRA
688,08H,08H
689,DULUTH D,DULUTH D
690,DULUTH E,DULUTH E
691,DULUTH C,DULUTH C
692,JC11,JC11
693,JC09,JC09
694,JC07,JC07
695,AP12D,AP12D
696,SHAMROCK,SHAMROCK
697,NORTHLAKE,NORTHLAKE
698,BRIARLAKE ELEM,BRIARLAKE ELEM
699,REHOBOTH,REHOBOTH
700,WARREN TECH,WARREN TECH
701,BERKSHIRE H,BERKSHIRE H
702,PINCKNEYVILLE Y,PINCKNEYVILLE Y
703,PINCKNEYVILLE D,PINCKNEYVILLE D
704,PINCKNEYVILLE K,PINCKNEYVILLE K
705,PINCKNEYVILLE I,PINCKNEYVILLE I
706,WINTERS CHAPEL (DUN),WINTERS CHAPEL
707,PINCKNEYVILLE U,PINCKNEYVILLE U
708,MIDVALE ROAD,MIDVALE ROAD
709,HENDERSON MILL ELEM,HENDERSON MILL ELEM
710,MONTREAL,MONTREAL
711,JOLLY ELEM,JOLLY ELEM
712,IDLEWOOD ELEM,IDLEWOOD ELEM
713,BROCKETT,BROCKETT
714,WOODWARD ELEM (BHAVN,WOODWARD ELEM
715,CROSS KEYS HIGH (BHA,CROSS KEYS HIGH
716,HARRIS-MARGARET HARR,HARRIS-MARGARET HARR
717,BRIARCLIFF,BRIARCLIFF
718,MONTCLAIR ELEM,MONTCLAIR ELEM
719,BRIARWOOD (BHAVN),BRIARWOOD
720,BROOKHAVEN (BHAVN),BROOKHAVEN
721,SILVER LAKE (BHAVN),SILVER LAKE
722,SKYLAND (BHAVN),SKYLAND
723,ASHFORD PARK ELEM (B,ASHFORD PARK ELEM
724,OAK GROVE ELEM,OAK GROVE ELEM
725,CORALWOOD,CORALWOOD
726,SAGAMORE HILLS ELEM,SAGAMORE HILLS ELEM
727,LAKESIDE HIGH,LAKESIDE HIGH
728,DRESDEN ELEM,DRESDEN ELEM
729,HAWTHORNE ELEM,HAWTHORNE ELEM
730,CLIFTON ELEM,CLIFTON ELEM
731,CEDAR GROVE MIDDLE,CEDAR GROVE MIDDLE
732,FLAT SHOALS,FLAT SHOALS
733,FLAT SHOALS ELEM,FLAT SHOALS ELEM
734,MCNAIR ACADEMY,MCNAIR ACADEMY
735,EAST LAKE (ATL),EAST LAKE ELEM
736,MCNAIR MIDDLE,MCNAIR MIDDLE
737,OAKHURST (DEC),OAKHURST
738,RENFROE MIDDLE (DEC),RENFROE MIDDLE
739,PONCE DE LEON (DEC),PONCE DE LEON
740,CLAIREMONT EAST (DEC,CLAIREMONT EAST
