,PRECINCT_N,XCOORD,YCOORD,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct
142,OAK 3,-84.415014,33.60369,4036579,2.26,484,063OAK3,063OAK3,OAK3,31,CLAYTON,63,black,34426,OAK 3
143,CP06,-84.466553,33.626154,4036644,0.76,1410,121CP06,121CP06,CP06,60,FULTON,121,white,57248,CP06
144,CP05B,-84.470204,33.642279,4036697,0.25,1409,121CP05B,121CP05B,CP05B,60,FULTON,121,black,35056,CP05B
145,CP07D,-84.47517,33.648865,4036726,0.08,1413,121CP07D,121CP07D,CP07D,60,FULTON,121,black,35016,CP07D
146,RW08,-84.352761,34.040834,4770756,1.28,1478,121RW08,121RW08,RW08,60,FULTON,121,white,104907,RW08
147,RW18,-84.373642,34.065298,4770800,1.38,1488,121RW18,121RW18,RW18,60,FULTON,121,white,152029,RW18
148,RW16,-84.345043,34.055381,4770852,1.48,1486,121RW16,121RW16,RW16,60,FULTON,121,white,110849,RW16
149,RW12,-84.352773,34.067943,4770890,2.4,1483,121RW12,121RW12,RW12,60,FULTON,121,white,113046,RW12
150,DUNWOODY LIBRARY (DU,-84.338873,33.949218,4770952,1.08,836,089DI,089DI,DI,44,DEKALB,89,white,159717,DUNWOODY LIBRARY
151,AUSTIN,-84.334767,33.961998,4771006,1.23,789,089AD,089AD,AD,44,DEKALB,89,white,157989,AUSTIN
152,MOUNT VERNON EAST (D,-84.314016,33.958536,4771060,1.09,897,089MQ,089MQ,MQ,44,DEKALB,89,white,146753,MT. VERNON EAST
153,SS15B,-84.34093,34.003053,4771112,0.4,1561,121SS15B,121SS15B,SS15B,60,FULTON,121,,72017,SS15B
154,SS17,-84.324683,33.98054,4771146,3.47,1563,121SS17,121SS17,SS17,60,FULTON,121,white,46878,SS17
155,OAK 1,-84.435718,33.62999,4044457,6.92,482,063OAK1,063OAK1,OAK1,31,CLAYTON,63,black,40769,OAK 1
156,CP02,-84.440803,33.654142,4044614,1.09,1405,121CP02,121CP02,CP02,60,FULTON,121,,79794,CP02
157,CP01B,-84.440342,33.665841,4044714,0.15,1404,121CP01B,121CP01B,CP01B,60,FULTON,121,,79794,CP01B
158,VININGS 01,-84.461098,33.876215,4251043,1.39,644,067VG01,067VG01,VG01,33,COBB,67,white,88765,VININGS 01
159,09F,-84.433335,33.819852,4251121,1.1,1319,12109F,12109F,09F,60,FULTON,121,white,92955,09F
160,08N2,-84.425378,33.839926,4251171,0.38,1312,12108N2,12108N2,08N2,60,FULTON,121,white,221381,08N2
161,08N1,-84.420403,33.846338,4251207,0.49,1311,12108N1,12108N1,08N1,60,FULTON,121,white,221299,08N1
162,08F1,-84.413028,33.833215,4251244,1.45,1303,12108F1,12108F1,08F1,60,FULTON,121,white,226070,08F1
163,08A,-84.43356,33.867326,4251295,3.25,1298,12108A,12108A,08A,60,FULTON,121,white,263565,08A
164,08D,-84.417564,33.853201,4251371,0.94,1301,12108D,12108D,08D,60,FULTON,121,white,255725,08D
165,CHATTAHOOCHEE 01,-84.457603,33.896425,4259115,2.4,520,067CA01,067CA01,CA01,33,COBB,67,,67115,CHATTAHOOCHEE 01
166,TERRELL MILL 01,-84.470318,33.927989,4259191,1.3,641,067TM01,067TM01,TM01,33,COBB,67,,62734,TERRELL MILL 01
167,SOPE CREEK 02,-84.452979,33.921501,4259309,2.85,637,067SO02,067SO02,SO02,33,COBB,67,white,109556,SOPE CREEK 02
168,SS09A,-84.424039,33.893253,4259387,4.12,1550,121SS09A,121SS09A,SS09A,60,FULTON,121,white,66325,SS09A
169,SOPE CREEK 03,-84.428157,33.934308,4259455,2.49,638,067SO03,067SO03,SO03,33,COBB,67,white,166386,SOPE CREEK 03
170,SS16,-84.42564,33.919113,4259505,2.56,1562,121SS16,121SS16,SS16,60,FULTON,121,,58034,SS16
171,AP09A,-84.227887,34.069329,4848415,2.19,1387,121AP09A,121AP09A,AP09A,60,FULTON,121,white,105645,AP09A
