ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_rac,income_r_1,XCOORD,YCOORD
3958825,5.54,563,067KP03,067KP03,KP03,KEMP 03,33,COBB,067,white,123383.605978,-84.690827,33.960121
3958891,2.45,548,067FY01,067FY01,FY01,FREY 01,33,COBB,067,white,121066.425676,-84.691036,34.011281
3958944,2.02,569,067LM04,067LM04,LM04,LOST MOUNTAIN 04,33,COBB,067,white,130492.169301,-84.680409,33.992351
3958991,9.31,593,067MS01,067MS01,MS01,MARS HILL 01,33,COBB,067,white,105760.970971,-84.717024,34.050692
3959109,1.48,570,067LW01,067LW01,LW01,LEWIS 01,33,COBB,067,white,99747.796857,-84.67707,34.022724
5047868,2.27,1788,135131,135131,131,SUWANEE E,67,GWINNETT,135,white,145658.999952,-84.078209,34.069911
5047916,2.21,1661,1354,1354,4,SUWANEE A,67,GWINNETT,135,white,100037.072778,-84.067873,34.062538
5047982,2.17,1755,13598,13598,98,GOODWINS F,67,GWINNETT,135,white,86616.212072,-84.030806,34.02297
5048051,2.76,1799,135142,135142,142,SUWANEE F,67,GWINNETT,135,,108954.871969,-84.03603,34.051166
5048109,2.84,1757,135100,135100,100,SUWANEE B,67,GWINNETT,135,,108992.821252,-84.045245,34.065038
5048163,2.38,1687,13530,13530,30,CATES C,67,GWINNETT,135,,70953.640446,-83.99964,33.835527
5084595,2.13,1727,13570,13570,70,GOODWINS B,67,GWINNETT,135,white,102252.99995,-84.007983,34.026836
5084641,2.75,1683,13526,13526,26,HOG MOUNTAIN A,67,GWINNETT,135,,82901.170437,-84.010818,34.043409
5084696,2.16,1688,13531,13531,31,HOG MOUNTAIN D,67,GWINNETT,135,white,89986.560528,-83.97442,34.026829
5084745,4.43,1793,135136,135136,136,HOG MOUNTAIN C,67,GWINNETT,135,white,80519.214858,-83.965332,34.048441
5084801,4.87,1724,13567,13567,67,PUCKETTS E,67,GWINNETT,135,white,80968.037822,-83.963805,34.07324
5084859,2.41,1728,13571,13571,71,LAWRENCEVILLE F,67,GWINNETT,135,,80776.939057,-83.940836,33.947792
5084911,4.5,1801,135144,135144,144,LAWRENCEVILLE M,67,GWINNETT,135,,70796.557916,-83.950761,33.968097
5084980,5.63,1684,13527,13527,27,HOG MOUNTAIN B,67,GWINNETT,135,white,86588.316059,-83.94491,34.006311
4302647,1.83,546,067FP01,067FP01,FP01,FULLERS PARK 01,33,COBB,067,white,130850.90241,-84.458508,33.97283
