,Unnamed: 0,Unnamed: 0.1,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct,county,dem_votes,precinct,rep_votes,total,rep_p,dem_p,_merge
40,40.0,40.0,4638195.0,1.59,456.0,063JB08,063JB08,JB08,JONESBORO 8,31.0,CLAYTON,63.0,black,44427.0,JONESBORO 8,CLAYTON,12.0,JONESBORO 8,29.0,59.0,0.491525423729,0.203389830508,both
41,41.0,41.0,4638260.0,1.29,480.0,063MO8,063MO8,MO8,MORROW 8,31.0,CLAYTON,63.0,black,54253.0,MORROW 8,CLAYTON,22.0,MORROW 8,30.0,82.0,0.365853658537,0.268292682927,both
42,42.0,42.0,4638309.0,2.92,477.0,063MO5,063MO5,MO5,MORROW 5,31.0,CLAYTON,63.0,black,64404.0,MORROW 5,CLAYTON,65.0,MORROW 5,89.0,254.0,0.350393700787,0.255905511811,both
43,43.0,43.0,4544214.0,1.9,494.0,063RD07,063RD07,RD07,RIVERDALE 7,31.0,CLAYTON,63.0,black,39854.0,RIVERDALE 7,CLAYTON,15.0,RIVERDALE 7,27.0,62.0,0.435483870968,0.241935483871,both
44,44.0,44.0,4544279.0,4.62,445.0,063FP3,063FP3,FP3,FOREST PARK 3,31.0,CLAYTON,63.0,,35993.0,FOREST PARK 3,CLAYTON,20.0,FOREST PARK 3,69.0,110.0,0.627272727273,0.181818181818,both
45,45.0,45.0,4544380.0,1.68,493.0,063RD06,063RD06,RD06,RIVERDALE 6,31.0,CLAYTON,63.0,black,36949.0,RIVERDALE 6,CLAYTON,19.0,RIVERDALE 6,62.0,106.0,0.584905660377,0.179245283019,both
46,46.0,46.0,4544453.0,2.31,463.0,063JB15,063JB15,JB15,JONESBORO 15,31.0,CLAYTON,63.0,black,35178.0,JONESBORO 15,CLAYTON,21.0,JONESBORO 15,37.0,80.0,0.4625,0.2625,both
47,47.0,47.0,4544524.0,2.33,447.0,063FP5,063FP5,FP5,FOREST PARK 5,31.0,CLAYTON,63.0,,37037.0,FOREST PARK 5,CLAYTON,45.0,FOREST PARK 5,79.0,163.0,0.484662576687,0.276073619632,both
48,48.0,48.0,4544594.0,0.86,448.0,063FP6,063FP6,FP6,FOREST PARK 6,31.0,CLAYTON,63.0,,46613.0,FOREST PARK 6,CLAYTON,31.0,FOREST PARK 6,69.0,132.0,0.522727272727,0.234848484848,both
49,49.0,49.0,4538463.0,1.88,491.0,063RD04,063RD04,RD04,RIVERDALE 4,31.0,CLAYTON,63.0,black,49299.0,RIVERDALE 4,CLAYTON,24.0,RIVERDALE 4,52.0,111.0,0.468468468468,0.216216216216,both
