county,dem_votes,precinct,rep_votes,total
CHATHAM,1107,7-07 Rothwell Bapt Ch,1964,3071
CHATHAM,262,7-08 Bloomingdale Com Ctr,1047,1309
CHATHAM,548,7-09 Southwest Baptist Ch,604,1152
CHATHAM,962,7-10 Progressive Rec Ctr,694,1656
CHATHAM,689,7-11 Seventh Day Adv Chr,657,1346
CHATHAM,1126,7-12 Risen Savior Chr,1317,2443
CHATHAM,402,7-13 Garden City City Hall,1217,1619
CHATHAM,2144,7-14 Coastal Cathedral,1169,3313
CHATHAM,328,8-01 Civic Center,108,436
CHATHAM,647,8-02 Bull Street Baptist,129,776
CHATHAM,143,8-03 Silk Hope Bapt Ch,264,407
CHATHAM,726,8-05 W Broad St YMCA,11,737
CHATHAM,536,8-06 Tompkins Rec Ctr,7,543
CHATHAM,360,8-07 Woodville-Tompkins,5,365
CHATHAM,967,8-08 Resur Of Our Lord Ch,17,984
CHATHAM,719,8-09 Moses Jackson Ctr,11,730
CHATHAM,1126,8-10 Carver Heights Comm,3,1129
CHATHAM,1051,8-11 Butler Elem School,5,1056
CHATHAM,474,8-12 Beach High School,85,559
CHATHAM,152,8-13 Savannah Christ. Sch,245,397
CHATHAM,792,8-15 Garden City Rec Ctr,60,852
CHATTAHOOCHEE,729,Chattahoochee Acvitity Center,735,1464
CHATTOOGA,62,CLOUDLAND,131,193
CHATTOOGA,74,PENNVILLE,220,294
CHATTOOGA,65,COLDWATER,84,149
CHATTOOGA,21,DIRTSELLER,100,121
CHATTOOGA,19,HAYWOOD,76,95
CHATTOOGA,155,LYERLY,365,520
CHATTOOGA,425,TRION,1334,1759
CHATTOOGA,1001,SUMMERVILLE,1758,2759
CHATTOOGA,52,TELOGA,272,324
CHATTOOGA,156,DIRTTOWN,399,555
CHATTOOGA,17,SEMINOLE,69,86
CHATTOOGA,56,SUBLIGNA,252,308
CHATTOOGA,129,ALPINE,392,521
CHEROKEE,382,AIR ACRES,1211,1593
CHEROKEE,472,ARNOLD MILL,2216,2688
CHEROKEE,218,AVERY,1587,1805
CHEROKEE,246,BALL GROUND,1582,1828
CHEROKEE,593,BASCOMB,2052,2645
CHEROKEE,773,BELLS,1610,2383
CHEROKEE,565,BOOTH,2133,2698
CHEROKEE,394,BRADSHAW,2322,2716
CHEROKEE,520,BRIDGEMILL,2488,3008
CHEROKEE,716,CANTON,2058,2774
CHEROKEE,630,CARMEL,1398,2028
CHEROKEE,780,WOODSTOCK,1523,2303
CHEROKEE,182,CLAYTON,1439,1621
CHEROKEE,52,CONNS CREEK,420,472
CHEROKEE,405,DEER RUN,1417,1822
CHEROKEE,799,DIXIE,2139,2938
CHEROKEE,419,FREEHOME,2702,3121
CHEROKEE,580,HICKORY FLAT,2320,2900
CHEROKEE,252,HIGHTOWER,1663,1915
CHEROKEE,419,HILLSIDE,1724,2143
CHEROKEE,240,HOLLY SPRINGS,1101,1341
CHEROKEE,664,KELLOGG,1961,2625
CHEROKEE,1052,LIBERTY,2979,4031
CHEROKEE,1032,LITTLE RIVER,2687,3719
CHEROKEE,393,MACEDONIA,2098,2491
CHEROKEE,359,MOUNTAIN ROAD,1568,1927
CHEROKEE,918,NEESE,2913,3831
CHEROKEE,388,OAK GROVE,1536,1924
CHEROKEE,209,R M MOORE,1558,1767
CHEROKEE,313,R T JONES,902,1215
CHEROKEE,441,ROSECREEK,2020,2461
CHEROKEE,48,SALACOA,332,380
CHEROKEE,352,SIXES,1533,1885
CHEROKEE,198,SUTALLEE,1164,1362
CHEROKEE,757,TEASLEY,3278,4035
CHEROKEE,662,TOONIGH,2782,3444
CHEROKEE,339,UNION HILL,1983,2322
CHEROKEE,487,UNIVETER,2599,3086
CHEROKEE,339,VICTORIA,1394,1733
CHEROKEE,286,WALESKA,1139,1425
CHEROKEE,347,WILDCAT,1551,1898
CHEROKEE,620,WOODLANDS,1432,2052
CLARKE,897,1A Wville Train Depot,664,1561
CLARKE,1273,1B E. Athens Baptist,825,2098
CLARKE,797,1C Barnett Shls School,608,1405
CLARKE,1100,1D Whit Davis School,829,1929
CLARKE,1593,2A Judia J. Harris Sch,289,1882
CLARKE,1969,2B Howard Stroud School,196,2165
CLARKE,1046,3A Clarke Central High,101,1147
CLARKE,1659,3B Thomas N. Lay Park,620,2279
CLARKE,510,4A Athens Transit Ctr,206,716
CLARKE,1320,4B Memorial Park,723,2043
CLARKE,1001,5A Oglethorpe School,700,1701
CLARKE,1125,5B Whitehead Rd School,566,1691
CLARKE,1014,5C Chase Street School,181,1195
CLARKE,1071,5D ACC Fleet Mgt Bldg,350,1421
CLARKE,905,6A Cleveland Rd School,849,1754
CLARKE,1307,6B Board Of Education,953,2260
CLARKE,839,6C Timothy Rd Elem Schl,881,1720
CLARKE,646,6D Firestation #4,350,996
CLARKE,837,7A Timothy Bptst Church,761,1598
CLARKE,910,7B Alps Elem. School,721,1631
CLARKE,734,7C Firestation #3,733,1467
CLARKE,1107,8A Gaines School,642,1749
CLARKE,744,8B Cedar Shls High Sch,458,1202
CLARKE,1027,8C Firestation #7,609,1636
CLAY,99,Bluffton,132,231
CLAY,183,Zetto,69,252
CLAY,219,Courthouse,47,266
CLAY,205,Old Head Start,111,316
CLAY,156,Days Cross Roads,178,334
CLAYTON,3313,ELLENWOOD,239,3552
CLAYTON,1000,FOREST PARK 1,304,1304
CLAYTON,1000,FOREST PARK 2,234,1234
CLAYTON,850,FOREST PARK 3,250,1100
CLAYTON,621,FOREST PARK 4,328,949
