,PRECINCT_N,ajc_precinct,BEN CARSON,BERNIE SANDERS,CARLY FIORINA,CHRIS CHRISTIE,GEORGE PATAKI,HILLARY CLINTON,JEB BUSH,JOHN R. KASICH,LINDSEY GRAHAM,MARCO RUBIO,MARTIN O'MALLEY,MICHAEL STEINBERG,MIKE HUCKABEE,RAND PAUL,RICK SANTORUM,dem_votes,precinct,rep_votes,total,rep_p,dem_p,_merge
299,MP01,MP01,,,,,,,,,,,,,,,,,,,,,,left_only
301,DICKERSON 01,DICKERSON 01,,,,,,,,,,,,,,,,,,,,,,left_only
302,SANDY PLAINS 01,SANDY PLAINS 01,,,,,,,,,,,,,,,,,,,,,,left_only
303,POPE 01,POPE 01,,,,,,,,,,,,,,,,,,,,,,left_only
304,MABRY 01,MABRY 01,,,,,,,,,,,,,,,,,,,,,,left_only
305,DAVIS 01,DAVIS 01,,,,,,,,,,,,,,,,,,,,,,left_only
306,GARRISON MILL 01,GARRISON MILL 01,,,,,,,,,,,,,,,,,,,,,,left_only
307,POST OAK 01,POST OAK 01,,,,,,,,,,,,,,,,,,,,,,left_only
308,HIGHTOWER 01,HIGHTOWER 01,,,,,,,,,,,,,,,,,,,,,,left_only
309,SHALLOWFORD FALLS 01,SHALLOWFORD FALL 01,,,,,,,,,,,,,,,,,,,,,,left_only
310,ML05A,ML05A,,,,,,,,,,,,,,,,,,,,,,left_only
311,ML06A,ML06A,,,,,,,,,,,,,,,,,,,,,,left_only
312,AP12B,AP12B,,,,,,,,,,,,,,,,,,,,,,left_only
313,ML05C,ML05C,,,,,,,,,,,,,,,,,,,,,,left_only
314,ML04C,ML04C,,,,,,,,,,,,,,,,,,,,,,left_only
315,ML071,ML071,,,,,,,,,,,,,,,,,,,,,,left_only
316,ML06B,ML06B,,,,,,,,,,,,,,,,,,,,,,left_only
317,SS09B,SS09B,,,,,,,,,,,,,,,,,,,,,,left_only
318,SS13B,SS13B,,,,,,,,,,,,,,,,,,,,,,left_only
319,SS11D,SS11D,,,,,,,,,,,,,,,,,,,,,,left_only
320,SS11B,SS11B,,,,,,,,,,,,,,,,,,,,,,left_only
321,SS06,SS06,,,,,,,,,,,,,,,,,,,,,,left_only
322,SS05,SS05,,,,,,,,,,,,,,,,,,,,,,left_only
323,SS18A,SS18A,,,,,,,,,,,,,,,,,,,,,,left_only
324,SS31,SS31,,,,,,,,,,,,,,,,,,,,,,left_only
325,SS03,SS03,,,,,,,,,,,,,,,,,,,,,,left_only
326,SS13A,SS13A,,,,,,,,,,,,,,,,,,,,,,left_only
327,SS11A,SS11A,,,,,,,,,,,,,,,,,,,,,,left_only
328,SS11C,SS11C,,,,,,,,,,,,,,,,,,,,,,left_only
329,SS14,SS14,,,,,,,,,,,,,,,,,,,,,,left_only
330,08J,08J,,,,,,,,,,,,,,,,,,,,,,left_only
331,FOREST PARK 4,FOREST PARK 4,,,,,,,,,,,,,,,,,,,,,,left_only
332,FOREST PARK 1,FOREST PARK 1,,,,,,,,,,,,,,,,,,,,,,left_only
333,HP01,HP01,,,,,,,,,,,,,,,,,,,,,,left_only
334,12E1,12E1,,,,,,,,,,,,,,,,,,,,,,left_only
335,AP05,AP05,,,,,,,,,,,,,,,,,,,,,,left_only
336,ML072,ML072,,,,,,,,,,,,,,,,,,,,,,left_only
337,AP09B,AP09B,,,,,,,,,,,,,,,,,,,,,,left_only
345,MT BETHEL 03,MOUNT BETHEL 03,,,,,,,,,,,,,,,,,,,,,,left_only
346,PEBBLEBROOK 01,PEBBLEBROOK 01,,,,,,,,,,,,,,,,,,,,,,left_only
347,MABLETON 02,MABLETON 02,,,,,,,,,,,,,,,,,,,,,,left_only
348,BRYANT 02,BRYANT 02,,,,,,,,,,,,,,,,,,,,,,left_only
349,RIVERSIDE 01,RIVERSIDE 01,,,,,,,,,,,,,,,,,,,,,,left_only
350,AUSTELL 1A,AUSTELL 1A,,,,,,,,,,,,,,,,,,,,,,left_only
351,SC05D,SC05D,,,,,,,,,,,,,,,,,,,,,,left_only
352,UC02B,UC02B,,,,,,,,,,,,,,,,,,,,,,left_only
353,SC05B,SC05B,,,,,,,,,,,,,,,,,,,,,,left_only
354,SC08C,SC08C,,,,,,,,,,,,,,,,,,,,,,left_only
355,SC18B,SC18B,,,,,,,,,,,,,,,,,,,,,,left_only
356,CLARKDALE 01,CLARKDALE 01,,,,,,,,,,,,,,,,,,,,,,left_only
357,POWDER SPRINGS 2A,POWDER SPRINGS 2A,,,,,,,,,,,,,,,,,,,,,,left_only
358,COOPER 01,COOPER 01,,,,,,,,,,,,,,,,,,,,,,left_only
359,OREGON 02,OREGON 02,,,,,,,,,,,,,,,,,,,,,,left_only
360,SC13B,SC13B,,,,,,,,,,,,,,,,,,,,,,left_only
361,SC05A,SC05A,,,,,,,,,,,,,,,,,,,,,,left_only
362,SC13A,SC13A,,,,,,,,,,,,,,,,,,,,,,left_only
363,09K,09K,,,,,,,,,,,,,,,,,,,,,,left_only
364,09M,09M,,,,,,,,,,,,,,,,,,,,,,left_only
365,09E,09E,,,,,,,,,,,,,,,,,,,,,,left_only
366,09A,09A,,,,,,,,,,,,,,,,,,,,,,left_only
367,04C,04C,,,,,,,,,,,,,,,,,,,,,,left_only
368,03A,03A,,,,,,,,,,,,,,,,,,,,,,left_only
369,03D,03D,,,,,,,,,,,,,,,,,,,,,,left_only
370,03B,03B,,,,,,,,,,,,,,,,,,,,,,left_only
371,09I,09I,,,,,,,,,,,,,,,,,,,,,,left_only
372,ACWORTH 1B,ACWORTH 1B,,,,,,,,,,,,,,,,,,,,,,left_only
373,MACLAND 01,MACLAND 01,,,,,,,,,,,,,,,,,,,,,,left_only
374,OREGON 05,OREGON 05,,,,,,,,,,,,,,,,,,,,,,left_only
375,KEMP 02,KEMP 02,,,,,,,,,,,,,,,,,,,,,,left_only
376,OREGON 04,OREGON 04,,,,,,,,,,,,,,,,,,,,,,left_only
377,DOWELL 01,DOWELL 01,,,,,,,,,,,,,,,,,,,,,,left_only
378,CHEATHAM HILL 03,CHEATHAM HILL 03,,,,,,,,,,,,,,,,,,,,,,left_only
379,MABLETON 01,MABLETON 01,,,,,,,,,,,,,,,,,,,,,,left_only
380,SWEETWATER 02,SWEETWATER 02,,,,,,,,,,,,,,,,,,,,,,left_only
381,BIRNEY 02,BIRNEY 02,,,,,,,,,,,,,,,,,,,,,,left_only
382,BIRNEY 01,BIRNEY 01,,,,,,,,,,,,,,,,,,,,,,left_only
383,MABLETON 03,MABLETON 03,,,,,,,,,,,,,,,,,,,,,,left_only
384,MABLETON 04,MABLETON 04,,,,,,,,,,,,,,,,,,,,,,left_only
385,ACWORTH 1A,ACWORTH 1A,,,,,,,,,,,,,,,,,,,,,,left_only
386,MCEACHERN 01,MCEACHERN 01,,,,,,,,,,,,,,,,,,,,,,left_only
387,LOST MOUNTAIN 01,LOST MOUNTAIN 01,,,,,,,,,,,,,,,,,,,,,,left_only
388,OREGON 01,OREGON 01,,,,,,,,,,,,,,,,,,,,,,left_only
389,VAUGHAN 01,VAUGHN 01,,,,,,,,,,,,,,,,,,,,,,left_only
390,POWDER SPRINGS 1A,POWDER SPRINGS 1A,,,,,,,,,,,,,,,,,,,,,,left_only
391,POWDER SPRINGS 3A,POWDER SPRINGS 3A,,,,,,,,,,,,,,,,,,,,,,left_only
392,LOST MOUNTAIN 03,LOST MOUNTAIN 03,,,,,,,,,,,,,,,,,,,,,,left_only
393,SWEETWATER 01,SWEETWATER 01,,,,,,,,,,,,,,,,,,,,,,left_only
394,CLARKDALE 02,CLARKDALE 02,,,,,,,,,,,,,,,,,,,,,,left_only
395,MARIETTA 3A,MARIETTA 3A,,,,,,,,,,,,,,,,,,,,,,left_only
396,HARRISON 01,HARRISON 01,,,,,,,,,,,,,,,,,,,,,,left_only
397,KEMP 01,KEMP 01,,,,,,,,,,,,,,,,,,,,,,left_only
398,MCCLURE 01,MCCLURE 01,,,,,,,,,,,,,,,,,,,,,,left_only
399,NORTH COBB 01,NORTH COBB 01,,,,,,,,,,,,,,,,,,,,,,left_only
400,SMYRNA 7B,SMYRNA 7B,,,,,,,,,,,,,,,,,,,,,,left_only
401,SC14,SC14,,,,,,,,,,,,,,,,,,,,,,left_only
402,HARMONY-LELAND 01,HARMONY LELAND 01,,,,,,,,,,,,,,,,,,,,,,left_only
