,county,dem_votes,precinct,rep_votes,total,prop
828,DEKALB,986,DUNAIRE ELEM,133,1119,0.118856121537
2316,RICHMOND,818,210,111,929,0.119483315393
1222,FULTON,1178,02J,160,1338,0.119581464873
1402,FULTON,4055,FA01A,551,4606,0.119626574034
2401,SPALDING,739,SECOND BAPTISH CH,101,840,0.120238095238
849,DEKALB,559,GLENNWOOD - 04,77,636,0.12106918239
2332,RICHMOND,1622,501,224,1846,0.121343445287
457,CLAYTON,1411,LOVEJOY 2,196,1607,0.121966397013
452,CLAYTON,905,JONESBORO 16,126,1031,0.122211445199
474,CLAYTON,1548,PANHANDLE 1,217,1765,0.122946175637
2050,LOWNDES,1573,Mildred,221,1794,0.123188405797
1034,DOUGLAS,1402,STEWART,200,1602,0.124843945069
1818,HANCOCK,374,Power of God,54,428,0.126168224299
2325,RICHMOND,1465,309,212,1677,0.126416219439
850,DEKALB,718,GLENNWOOD - 05,104,822,0.126520681265
936,DEKALB,1700,SHAW-ROBERT SHAW ELEM,247,1947,0.126861838726
1881,HENRY,2090,SHAKERAG,306,2396,0.127712854758
1814,HANCOCK,321,St. Mark,47,368,0.127717391304
1279,FULTON,239,06Q,35,274,0.127737226277
275,CHATHAM,655,2-12 Williams Court Apts,96,751,0.127829560586
1223,FULTON,783,02K,115,898,0.128062360802
895,DEKALB,965,MONTCLAIR ELEM,142,1107,0.128274616079
105,BIBB,1547,HAZZARD 1,230,1777,0.129431626337
2168,MUSCOGEE,3110,ROTHSCHILD,464,3574,0.129826524902
482,CLAYTON,895,RIVERDALE 7,134,1029,0.130223517979
1114,FAYETTE,1903,EUROPE,286,2189,0.130653266332
1240,FULTON,1534,03P1A,235,1769,0.132843414358
272,CHATHAM,1275,2-07 Christ Comm. Church,196,1471,0.133242692046
454,CLAYTON,1340,JONESBORO 18,206,1546,0.133247089263
271,CHATHAM,239,2-06 Eli Whitney,37,276,0.134057971014
1547,FULTON,71,UC032,11,82,0.134146341463
861,DEKALB,842,INDIAN CREEK ELEM,133,975,0.13641025641
